Image,Label,Width,Height,Total_Pixels,Brightness,Contrast,Focus
case5013_43.png,Light,1024,768,786432,69.84825897216797,66.68588807022572,36.936135439161774
case5013_57.png,Light,1024,768,786432,58.18246841430664,57.83323458680557,31.94843418483409
case_53153_57.png,Light,1024,768,786432,72.52882258097331,64.46595834474968,94.12913682746223
case_53153_43.png,Light,1024,768,786432,69.39475886027019,64.84362516182713,51.4160782048178
case5309_60.png,Light,1024,768,786432,73.78380457560222,68.59938899774953,65.03345350159925
case5309_48.png,Light,1024,768,786432,71.13003794352214,65.85646972561347,60.1406959997241
case5317_48.png,Light,1024,768,786432,64.77009709676106,65.74538651892371,36.10879376677946
case5317_60.png,Light,1024,768,786432,78.0677858988444,73.69937554402011,43.49047391543315
case5015_22.png,Light,1024,768,786432,70.43463770548503,67.94471997784152,36.163770943555086
case5334_54.png,Light,1024,768,786432,67.20606104532878,67.0239501031351,31.583895997259102
case5334_40.png,Light,1024,768,786432,69.43484878540039,67.72598989640034,38.21821570202239
case5015_36.png,Light,1024,768,786432,78.4017817179362,68.76384745856508,46.02017476717527
case5334_68.png,Light,1024,768,786432,63.401512145996094,65.29321566747261,33.37984578271183
case5072_46.png,Light,1024,768,786432,70.51252110799153,66.3603258856126,51.77808795853179
case5072_52.png,Light,1024,768,786432,77.36612319946289,70.51861727560234,58.90280698370285
case5180_39.png,Light,1024,768,786432,70.8074467976888,64.70082357225961,88.85999206364153
case5016_73.png,Light,1024,768,786432,81.1386833190918,69.10915479197928,47.828578604359414
case5180_05.png,Light,1024,768,786432,72.81538263956706,59.82103549655434,77.91909618155556
case5180_11.png,Light,1024,768,786432,82.26511764526367,65.4728557335696,92.04927227148755
case5016_67.png,Light,1024,768,786432,87.19947560628255,74.87758868025797,68.80163928367091
case5316_34.png,Light,1024,768,786432,76.9223149617513,69.67952178227343,53.21838328562444
case5316_20.png,Light,1024,768,786432,72.6528549194336,65.58739937382772,43.74220010378085
case5316_08.png,Light,1024,768,786432,81.30931727091472,69.35582271893492,114.40871424304918
case5316_09.png,Light,1024,768,786432,67.80550765991211,62.64950924984945,51.674664526891625
case5316_21.png,Light,1024,768,786432,84.48865000406902,74.13152919350334,107.8805501526157
case5316_35.png,Light,1024,768,786432,77.22335433959961,68.11055116759833,66.97463581555185
case5016_66.png,Light,1024,768,786432,78.62043380737305,73.72531909231361,48.10203686417986
case5180_10.png,Light,1024,768,786432,82.78174463907878,65.02669291034866,87.17807865243549
case5180_04.png,Light,1024,768,786432,75.78547795613606,61.18484263357908,80.93004362075422
case5016_72.png,Light,1024,768,786432,80.48806635538737,70.95084167585868,39.24128206027512
case5180_38.png,Light,1024,768,786432,79.8291130065918,67.78995540978943,100.68836430704532
case5072_53.png,Light,1024,768,786432,74.86830139160156,67.6617497790149,46.179385600609926
case5072_47.png,Light,1024,768,786432,84.1633415222168,74.63965044680201,59.609166307348964
case5334_69.png,Light,1024,768,786432,59.168619791666664,63.12722723696368,31.216562842225883
case5334_41.png,Light,1024,768,786432,68.26480229695638,67.6135106712408,42.92446044552428
case5015_37.png,Light,1024,768,786432,75.74636459350586,67.85755456521555,42.057840495717976
case5015_23.png,Light,1024,768,786432,71.52201588948567,65.41269807039598,60.49166223488118
case5334_55.png,Light,1024,768,786432,76.27421569824219,72.4500489210955,31.010331995681764
case5317_61.png,Light,1024,768,786432,81.39712270100911,75.18892609014516,46.933468054663145
case5317_49.png,Light,1024,768,786432,70.75305430094402,70.79825264579063,32.464162207362186
case5309_49.png,Light,1024,768,786432,69.47593816121419,66.74141144168371,51.15728067347985
case5309_61.png,Light,1024,768,786432,80.75990295410156,73.15628204171877,91.9289296740252
case_53153_42.png,Light,1024,768,786432,71.63605244954427,65.79466817884017,85.6302668460994
case_53153_56.png,Light,1024,768,786432,59.06965764363607,58.8648890348723,52.48004165622921
case5013_56.png,Light,1024,768,786432,79.45127614339192,64.06641667991671,41.89535410623973
case5013_42.png,Light,1024,768,786432,73.77228291829427,64.33927434308426,46.18158575385399
case5013_54.png,Light,1024,768,786432,71.9232292175293,62.52368785284122,39.18411584737705
case5013_40.png,Light,1024,768,786432,75.99181874593098,65.40340026355055,47.068538999338564
case_53153_68.png,Light,1024,768,786432,71.31985219319661,65.24081956280034,65.79368555506838
case5013_68.png,Light,1024,768,786432,72.3075345357259,61.61096778837719,37.25218573237847
case_53153_40.png,Light,1024,768,786432,73.33670425415039,73.6604567687721,61.06505927229913
case_53153_54.png,Light,1024,768,786432,74.37875874837239,65.7774919816583,86.75534462695778
case5032_59.png,Light,1024,768,786432,65.48032760620117,67.2526392048792,45.49238930894678
case5309_63.png,Light,1024,768,786432,71.960023244222,67.55673627163557,66.51414355198433
case5051_59.png,Light,1024,768,786432,83.46632639567058,70.69189628563728,66.43602033780674
case5015_35.png,Light,1024,768,786432,54.19903564453125,57.38227561356961,28.12835624202853
case5334_43.png,Light,1024,768,786432,84.27285893758138,72.72388932271676,53.979005119763315
case5334_57.png,Light,1024,768,786432,72.62399291992188,70.60476770343375,34.24648024387556
case5015_21.png,Light,1024,768,786432,74.04547627766927,66.21469161464977,44.427968944008974
case5015_09.png,Light,1024,768,786432,78.6098264058431,65.26136501702109,52.275808879116084
case5072_51.png,Light,1024,768,786432,73.19974263509114,68.81345642910775,40.15846585885773
case5072_45.png,Light,1024,768,786432,83.0125223795573,74.18545904508213,69.42051471643043
case5016_58.png,Light,1024,768,786432,87.10433451334636,69.75761748566563,77.15922967996448
case5180_12.png,Light,1024,768,786432,82.80405807495117,66.22205873261694,102.94422239420722
case5016_64.png,Light,1024,768,786432,78.48571014404297,72.71987035422418,43.51093568256895
case5016_70.png,Light,1024,768,786432,75.71804555257161,61.92316665845951,46.77697594490828
case5180_06.png,Light,1024,768,786432,67.23910013834636,56.21737568642804,65.47358867584099
case5316_23.png,Light,1024,768,786432,84.67501703898112,76.20756459597162,99.54371080266719
case5316_36.png,Light,1024,768,786432,72.76990763346355,61.158557922510425,48.90115414656692
case5316_22.png,Light,1024,768,786432,83.54183959960938,75.78183566097567,94.90599472655191
case5180_07.png,Light,1024,768,786432,78.56248346964519,62.71471562609359,85.01837200423081
case5016_71.png,Light,1024,768,786432,84.9866828918457,72.60195791522277,51.574549491981294
case5016_65.png,Light,1024,768,786432,79.49419911702473,71.2063885763701,57.66098724670237
case5180_13.png,Light,1024,768,786432,80.8901252746582,66.33425005723272,107.80911638409047
case5016_59.png,Light,1024,768,786432,70.25745264689128,67.66598347054371,36.069180884979
case5072_44.png,Light,1024,768,786432,81.09802373250325,73.0181390918348,65.20810425368836
case5072_50.png,Light,1024,768,786432,75.51114654541016,69.32974772739317,42.43439565209459
case5015_08.png,Light,1024,768,786432,78.52132034301758,65.30151654986905,59.50216224137046
case5334_56.png,Light,1024,768,786432,74.43266423543294,70.21407017635146,29.349287297887106
case5015_20.png,Light,1024,768,786432,62.24906921386719,58.504159473217406,29.281636073971942
case5015_34.png,Light,1024,768,786432,57.60393269856771,58.485512800313636,38.09766179505421
case5334_42.png,Light,1024,768,786432,69.13869603474934,67.75240670493726,35.53458996018647
case5317_62.png,Light,1024,768,786432,78.75668716430664,73.13750827964812,38.571030354513745
case5051_58.png,Light,1024,768,786432,85.19987487792969,68.60278405477827,81.73259128012997
case5309_62.png,Light,1024,768,786432,67.26864496866862,64.39230702763852,57.13153886475387
case5032_58.png,Light,1024,768,786432,62.6533203125,65.17080888567435,43.073214662254856
case_53153_55.png,Light,1024,768,786432,78.56004460652669,72.0454523998501,77.04221907351
case_53153_41.png,Light,1024,768,786432,74.03186925252278,74.12658216481621,54.66017358294145
case5013_69.png,Light,1024,768,786432,63.844991048177086,59.18899464196705,28.624300532933887
case_53153_69.png,Light,1024,768,786432,74.52383677164714,67.30701302709427,97.40551543856499
case5013_41.png,Light,1024,768,786432,77.81792704264323,67.41965862439888,55.24764743984755
case5013_55.png,Light,1024,768,786432,81.87300491333008,69.6766498198312,66.67127574074159
case_53153_45.png,Light,1024,768,786432,66.59042485555013,66.04157012981089,50.676653176132156
case_53153_51.png,Light,1024,768,786432,65.64475123087566,60.034745624621365,48.702953975175575
case5013_51.png,Light,1024,768,786432,53.84429804484049,60.26435961046929,19.50133638526151
case5013_45.png,Light,1024,768,786432,70.40647506713867,72.6836066360163,29.852581913835213
case5032_60.png,Light,1024,768,786432,63.39813995361328,63.432359232441314,33.83588636957414
case5032_48.png,Light,1024,768,786432,63.54596201578776,67.93279094601478,33.795696515900396
case5309_66.png,Light,1024,768,786432,69.61223856608073,65.75798197912934,61.225412818562795
case5051_48.png,Light,1024,768,786432,75.95603307088216,64.85771575920755,56.42375825777546
case5015_18.png,Light,1024,768,786432,75.95147196451823,63.77456042309888,43.65349859673006
case5334_46.png,Light,1024,768,786432,63.23871739705404,65.71631916526806,35.766353154708575
case5015_30.png,Light,1024,768,786432,73.54054514567058,65.07167166110648,44.347232818603516
case5015_24.png,Light,1024,768,786432,75.96920776367188,67.29420935648199,45.31383130567297
case5334_52.png,Light,1024,768,786432,54.60710525512695,59.76882200158366,24.585833224564947
case5072_54.png,Light,1024,768,786432,76.49974060058594,69.03726019491792,43.432062772786594
case5072_40.png,Light,1024,768,786432,77.20049285888672,69.80476496816789,63.69621051075549
case5016_61.png,Light,1024,768,786432,80.78355026245117,69.69895089924147,48.43260177967346
case5180_17.png,Light,1024,768,786432,79.66536458333333,64.56442669166961,76.17254181361447
case5180_03.png,Light,1024,768,786432,81.3473726908366,63.87227257000135,107.2481804192002
case5016_75.png,Light,1024,768,786432,82.67392476399739,71.4357663470902,49.501071092957226
case5016_49.png,Light,1024,768,786432,84.65128962198894,72.99094482515619,58.75644125579694
case5316_26.png,Light,1024,768,786432,80.63568369547527,74.97929108061793,79.75010323875661
case5316_32.png,Light,1024,768,786432,76.01504770914714,66.06768422328335,72.82038347420486
case5316_33.png,Light,1024,768,786432,75.02291361490886,65.02789163146683,59.5849003441787
case5316_27.png,Light,1024,768,786432,68.72152201334636,64.52027290788496,46.58025056169652
case5016_48.png,Light,1024,768,786432,70.60848617553711,60.332900953253464,27.068593757479295
case5016_74.png,Light,1024,768,786432,79.14773050944011,68.77689874501037,44.694547638062666
case5180_02.png,Light,1024,768,786432,73.45669174194336,60.31356631337789,100.68823026542184
case5180_16.png,Light,1024,768,786432,81.40494028727214,66.92671801619471,109.74403791501472
case5016_60.png,Light,1024,768,786432,61.11565017700195,62.7775372524099,27.652516586680175
case5072_41.png,Light,1024,768,786432,76.35591379801433,68.43519365918965,53.90322070320284
case5072_55.png,Light,1024,768,786432,76.28943379720052,69.7435951444193,45.0433068566086
case5015_25.png,Light,1024,768,786432,71.23852666219075,63.53507276306837,36.659628465124946
case5334_53.png,Light,1024,768,786432,55.286546071370445,60.28324496471514,25.687678006684617
case5334_47.png,Light,1024,768,786432,63.094556172688804,66.22212520146175,29.232570398467942
case5015_31.png,Light,1024,768,786432,65.64778391520183,61.18984836681777,37.68056089489094
case5015_19.png,Light,1024,768,786432,75.95273844401042,66.12807296778028,50.17090087957655
case5051_49.png,Light,1024,768,786432,78.69797007242839,66.22324304165986,59.84315434334794
case5032_49.png,Light,1024,768,786432,65.50304667154948,68.1543652879816,34.73944932819965
case5309_67.png,Light,1024,768,786432,73.52092615763347,69.16487250656701,76.24361680693822
case5032_61.png,Light,1024,768,786432,57.61146036783854,59.01056184177655,26.13690615398164
case5013_44.png,Light,1024,768,786432,64.68227895100911,61.34139252296243,31.874557273766396
case5013_50.png,Light,1024,768,786432,54.644972483317055,62.6718495729121,17.85867050018472
case_53153_50.png,Light,1024,768,786432,68.80438232421875,64.71698438864668,62.600424911475976
